"time","carID","edgeID","laneID","pos","speed"
"0.00","car4","-E0","-E0_0","392.76","13.92"
"0.00","car1","-E6","-E6_0","0.00","0.00"
"0.00","car9","-E7","-E7_0","0.00","0.00"
"0.00","car2","E0","E0_0","0.00","0.00"
"0.00","car6","E12","E12_0","100.97","2.89"
"0.00","car0","E12","E12_0","114.09","2.78"
"0.00","car8","E7","E7_0","7.85","13.00"
"1.00","car4","-E0","-E0_0","406.71","13.95"
"1.00","car1","-E6","-E6_0","0.71","0.71"
"1.00","car9","-E7","-E7_0","0.77","0.77"
"1.00","car2","E0","E0_0","0.78","0.78"
"1.00","car6","E12","E12_0","103.49","2.52"
"1.00","car0","E12","E12_0","116.97","2.88"
"1.00","car8","E7","E7_0","20.63","12.78"
"2.00","car4","-E0","-E0_0","420.74","14.03"
"2.00","car1","-E6","-E6_0","2.19","1.47"
"2.00","car9","-E7","-E7_0","2.19","1.42"
"2.00","car2","E0","E0_0","2.05","1.28"
"2.00","car6","E12","E12_0","106.24","2.75"
"2.00","car0","E12","E12_0","119.67","2.70"
"2.00","car8","E7","E7_0","33.50","12.88"
"3.00","car4","-E0","-E0_0","435.03","14.29"
"3.00","car1","-E6","-E6_0","4.19","2.00"
"3.00","car9","-E7","-E7_0","4.03","1.83"
"3.00","car2","E0","E0_0","3.81","1.75"
"3.00","car6","E12","E12_0","109.14","2.89"
"3.00","car0","E12","E12_0","122.28","2.61"
"3.00","car8","E7","E7_0","46.17","12.67"
"4.00","car4","-E0","-E0_0","449.15","14.11"
"4.00","car1","-E6","-E6_0","6.74","2.55"
"4.00","car9","-E7","-E7_0","6.36","2.34"
"4.00","car2","E0","E0_0","6.34","2.53"
"4.00","car6","E12","E12_0","112.00","2.86"
"4.00","car0","E12","E12_0","124.83","2.55"
"4.00","car8","E7","E7_0","59.10","12.94"
"5.00","car4","-E0","-E0_0","463.22","14.07"
"5.00","car5","-E6","-E6_0","0.00","0.00"
"5.00","car1","-E6","-E6_0","9.82","3.07"
"5.00","car9","-E7","-E7_0","9.12","2.76"
"5.00","car3","E0","E0_0","0.00","0.00"
"5.00","car2","E0","E0_0","9.37","3.03"
"5.00","car6","E12","E12_0","114.64","2.64"
"5.00","car0","E12","E12_0","127.56","2.73"
"5.00","car8","E7","E7_0","71.78","12.67"
