"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"0.00","car4","0.00","-E0","-E0_0","-E0_0","-E0_0","392.76","392.76","500.00","13.92","13.92","14.21","0.00","0.00","8.00","8.00","107.24","0","1.03","","80","route1"
"0.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.00","100.00","0.00","0.00","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"0.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"0.00","car2","0.00","E0","E0_0","E0_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"0.00","car6","0.00","E12","E12_0","E12_0","","100.97","100.97","-1.00","2.89","2.89","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"0.00","car0","0.00","E12","E12_0","E12_0","","114.09","114.09","-1.00","2.78","2.78","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
"0.00","car8","0.00","E7","E7_0","E7_0","E7_0","7.85","7.85","300.00","13.00","13.00","12.88","0.00","0.00","23.00","23.00","292.15","0","0.94","","80","route0"
"1.00","car4","0.00","-E0","-E0_0","-E0_0","-E0_0","392.76","406.71","500.00","13.92","13.95","14.21","0.00","0.00","8.00","8.00","107.24","0","1.03","","80","route1"
"1.00","car1","0.00","-E6","-E6_0","-E6_0","E2_0","0.00","0.71","100.00","0.00","0.71","12.94","0.00","0.00","53.00","53.00","500.00","0","0.94","","80","route2"
"1.00","car9","0.00","-E7","-E7_0","-E7_0","","0.00","0.77","-1.00","0.00","0.77","-1.00","0.00","0.00","101.00","-1.00","1028.48","0","0.86","","80","route1"
"1.00","car2","0.00","E0","E0_0","E0_0","","0.00","0.78","-1.00","0.00","0.78","-1.00","0.00","6.00","101.00","-1.00","610.10","0","1.01","end","80","route0"
"1.00","car6","0.00","E12","E12_0","E12_0","","100.97","103.49","-1.00","2.89","2.52","-1.00","0.00","0.00","101.00","-1.00","484.01","0","1.05","","80","route0"
"1.00","car0","0.00","E12","E12_0","E12_0","","114.09","116.97","-1.00","2.78","2.88","-1.00","0.00","0.00","101.00","-1.00","540.71","0","1.06","","80","route0"
