"carID","depart","departLane","departPos","departSpeed","departDelay","arrival","arrivalLane","arrivalPos","arrivalSpeed","duration","routeLength","waitingTime","rerouteNo","speedFactor","vaporized"
"car4","0.00","-E0_0","392.76","13.92","0.00","8.00","-E0_0","500.00","14.21","8.00","107.24","0.00","0","1.03",""
"car8","0.00","E7_0","7.85","13.00","0.00","23.00","E7_0","300.00","12.88","23.00","292.15","0.00","0","0.94",""
"car1","0.00","-E6_0","0.00","0.00","0.00","53.00","E2_0","100.00","12.94","53.00","500.00","0.00","0","0.94",""
"car5","5.00","-E6_0","0.00","0.00","5.00","60.00","E2_0","100.00","11.36","55.00","500.00","0.00","0","0.83",""
"car7","10.00","-E6_0","0.00","0.00","10.00","64.00","E2_0","100.00","12.10","54.00","500.00","0.00","0","0.89",""
"car0","0.00","E12_0","114.09","2.78","0.00","-1.00","","-1.00","-1.00","101.00","540.71","0.00","0","1.06",""
"car2","0.00","E0_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","610.10","6.00","0","1.01","end"
"car3","5.00","E0_0","0.00","0.00","5.00","-1.00","","-1.00","-1.00","96.00","607.46","5.00","0","1.08","end"
"car6","0.00","E12_0","100.97","2.89","0.00","-1.00","","-1.00","-1.00","101.00","484.01","0.00","0","1.05",""
"car9","0.00","-E7_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","1028.48","0.00","0","0.86",""
