"time","carID","depart","edgeID","departLane","laneID","arrivalLane","departPos","pos","arrivalPos","departSpeed","speed","arrivalSpeed","departDelay","waitingTime","duration","arrival","routeLength","rerouteNo","speedFactor","vaporized","HasRun","onRouteAtStart"
"0.00","car0","0.00","-E7","-E7_0","-E7_0","","0.00","0.00","-1.00","0.00","0.00","-1.00","0.00","0.00","101.00","-1.00","641.77","0","1.06","end","3","route1"
"0.00","car9","0.00","E12","E12_0","E12_0","E7_0","222.90","222.90","300.00","2.23","2.23","11.69","0.00","0.00","85.00","85.00","577.10","0","0.86","","3","route0"
"0.00","car8","0.00","E12","E12_0","E12_0","E7_0","234.49","234.49","300.00","2.21","2.21","12.79","0.00","0.00","77.00","77.00","565.51","0","0.94","","3","route0"
"0.00","car7","0.00","E12","E12_0","E12_0","E7_0","244.21","244.21","300.00","1.82","1.82","12.15","0.00","0.00","74.00","74.00","555.79","0","0.89","","3","route0"
"0.00","car5","0.00","E12","E12_0","E12_0","E7_0","254.15","254.15","300.00","2.27","2.27","11.37","0.00","0.00","72.00","72.00","545.85","0","0.83","","3","route0"
"0.00","car6","0.00","E4","E4_0","E4_0","E7_0","17.57","17.57","300.00","5.07","5.07","14.15","0.00","0.00","38.00","38.00","482.43","0","1.05","","3","route0"
"0.00","car4","0.00","E4","E4_0","E4_0","E7_0","85.04","85.04","300.00","10.48","10.48","14.27","0.00","0.00","31.00","31.00","414.96","0","1.03","","3","route0"
"0.00","car2","0.00","E4","E4_0","E4_0","E7_1","131.17","131.17","300.00","12.65","12.65","13.88","0.00","0.00","27.00","27.00","368.83","0","1.01","","3","route0"
"0.00","car1","0.00","E4","E4_0","E4_0","E7_0","153.49","153.49","300.00","12.84","12.84","12.88","0.00","0.00","27.00","27.00","346.51","0","0.94","","3","route0"
"0.00","car3","0.00","E7","E7_0","E7_0","E7_0","131.13","131.13","300.00","14.90","14.90","14.98","0.00","0.00","12.00","12.00","168.87","0","1.08","","3","route0"
"1.00","car0","0.00","-E7","-E7_0","-E7_0","","0.00","0.77","-1.00","0.00","0.77","-1.00","0.00","0.00","101.00","-1.00","641.77","0","1.06","end","3","route1"
"1.00","car9","0.00","E12","E12_0","E12_0","E7_0","222.90","225.13","300.00","2.23","2.23","11.69","0.00","0.00","85.00","85.00","577.10","0","0.86","","3","route0"
"1.00","car8","0.00","E12","E12_0","E12_0","E7_0","234.49","236.46","300.00","2.21","1.97","12.79","0.00","0.00","77.00","77.00","565.51","0","0.94","","3","route0"
"1.00","car7","0.00","E12","E12_0","E12_0","E7_0","244.21","246.26","300.00","1.82","2.05","12.15","0.00","0.00","74.00","74.00","555.79","0","0.89","","3","route0"
"1.00","car5","0.00","E12","E12_0","E12_0","E7_0","254.15","256.40","300.00","2.27","2.25","11.37","0.00","0.00","72.00","72.00","545.85","0","0.83","","3","route0"
"1.00","car6","0.00","E4","E4_0","E4_0","E7_0","17.57","23.44","300.00","5.07","5.87","14.15","0.00","0.00","38.00","38.00","482.43","0","1.05","","3","route0"
"1.00","car4","0.00","E4","E4_0","E4_0","E7_0","85.04","96.12","300.00","10.48","11.08","14.27","0.00","0.00","31.00","31.00","414.96","0","1.03","","3","route0"
"1.00","car2","0.00","E4","E4_0","E4_0","E7_1","131.17","144.39","300.00","12.65","13.22","13.88","0.00","0.00","27.00","27.00","368.83","0","1.01","","3","route0"
"1.00","car1","0.00","E4","E4_0","E4_0","E7_0","153.49","166.41","300.00","12.84","12.92","12.88","0.00","0.00","27.00","27.00","346.51","0","0.94","","3","route0"
"1.00","car3","0.00","E7","E7_0","E7_0","E7_0","131.13","145.92","300.00","14.90","14.79","14.98","0.00","0.00","12.00","12.00","168.87","0","1.08","","3","route0"
"2.00","car0","0.00","-E7","-E7_0","-E7_0","","0.00","2.19","-1.00","0.00","1.42","-1.00","0.00","0.00","101.00","-1.00","641.77","0","1.06","end","3","route1"
"2.00","car9","0.00","E12","E12_0","E12_0","E7_0","222.90","227.47","300.00","2.23","2.34","11.69","0.00","0.00","85.00","85.00","577.10","0","0.86","","3","route0"
"2.00","car8","0.00","E12","E12_0","E12_0","E7_0","234.49","238.36","300.00","2.21","1.90","12.79","0.00","0.00","77.00","77.00","565.51","0","0.94","","3","route0"
