"time","carID","edgeID","laneID","pos","speed"
"0.00","car0","-E12","-E12_0","141.77","2.56"
"0.00","car1","-E6","-E6_0","0.00","0.00"
"0.00","car3","-E7","-E7_0","0.00","0.00"
"0.00","car2","E0","E0_0","0.00","0.00"
"1.00","car0","-E12","-E12_0","144.64","2.87"
"1.00","car1","-E6","-E6_0","0.71","0.71"
"1.00","car3","-E7","-E7_0","0.77","0.77"
"1.00","car2","E0","E0_0","0.78","0.78"
"2.00","car0","-E12","-E12_0","147.23","2.59"
"2.00","car1","-E6","-E6_0","2.19","1.47"
"2.00","car3","-E7","-E7_0","2.19","1.42"
"2.00","car2","E0","E0_0","2.05","1.28"
"3.00","car0","-E12","-E12_0","150.13","2.90"
"3.00","car1","-E6","-E6_0","4.19","2.00"
"3.00","car3","-E7","-E7_0","4.03","1.83"
"3.00","car2","E0","E0_0","3.81","1.75"
"4.00","car0","-E12","-E12_0","152.85","2.72"
"4.00","car1","-E6","-E6_0","6.74","2.55"
"4.00","car3","-E7","-E7_0","6.36","2.34"
"4.00","car2","E0","E0_0","6.34","2.53"
"5.00","car0","-E12","-E12_0","155.70","2.86"
"5.00","car7","-E6","-E6_0","0.00","0.00"
"5.00","car1","-E6","-E6_0","9.82","3.07"
"5.00","car9","-E7","-E7_0","0.00","0.00"
"5.00","car3","-E7","-E7_0","9.12","2.76"
"5.00","car4","E0","E0_0","0.00","0.00"
"5.00","car2","E0","E0_0","9.37","3.03"
"6.00","car0","-E12","-E12_0","158.50","2.79"
"6.00","car7","-E6","-E6_0","0.46","0.46"
"6.00","car1","-E6","-E6_0","13.59","3.77"
"6.00","car9","-E7","-E7_0","0.66","0.66"
"6.00","car3","-E7","-E7_0","12.52","3.40"
"6.00","car4","E0","E0_0","0.57","0.57"
"6.00","car2","E0","E0_0","12.97","3.61"
"7.00","car0","-E12","-E12_0","161.08","2.59"
"7.00","car7","-E6","-E6_0","1.37","0.91"
"7.00","car1","-E6","-E6_0","18.04","4.45"
"7.00","car9","-E7","-E7_0","1.85","1.20"
"7.00","car3","-E7","-E7_0","16.34","3.82"
"7.00","car4","E0","E0_0","1.88","1.30"
"7.00","car2","E0","E0_0","17.36","4.39"
"8.00","car0","-E12","-E12_0","163.77","2.69"
"8.00","car7","-E6","-E6_0","3.06","1.69"
"8.00","car1","-E6","-E6_0","23.17","5.13"
"8.00","car9","-E7","-E7_0","3.45","1.60"
"8.00","car3","-E7","-E7_0","20.81","4.47"
"8.00","car4","E0","E0_0","3.85","1.97"
"8.00","car2","E0","E0_0","22.29","4.93"
"9.00","car0","-E12","-E12_0","166.37","2.60"
"9.00","car7","-E6","-E6_0","5.22","2.17"
"9.00","car1","-E6","-E6_0","28.85","5.68"
"9.00","car9","-E7","-E7_0","5.50","2.05"
"9.00","car3","-E7","-E7_0","25.76","4.95"
"9.00","car4","E0","E0_0","6.39","2.54"
"9.00","car2","E0","E0_0","27.75","5.46"
"10.00","car0","-E12","-E12_0","168.98","2.60"
"10.00","car7","-E6","-E6_0","8.17","2.94"
"10.00","car1","-E6","-E6_0","34.98","6.13"
"10.00","car9","-E7","-E7_0","8.16","2.66"
"10.00","car3","-E7","-E7_0","31.25","5.49"
"10.00","car5","E0","E0_0","0.00","0.00"
"10.00","car4","E0","E0_0","9.56","3.17"
"10.00","car2","E0","E0_0","33.70","5.95"
"11.00","car0","-E12","-E12_0","171.60","2.63"
"11.00","car7","-E6","-E6_0","11.90","3.73"
"11.00","car1","-E6","-E6_0","41.65","6.67"
"11.00","car9","-E7","-E7_0","11.36","3.20"
"11.00","car3","-E7","-E7_0","37.53","6.28"
"11.00","car5","E0","E0_0","0.72","0.72"
"11.00","car4","E0","E0_0","13.19","3.63"
"11.00","car2","E0","E0_0","40.19","6.49"
"12.00","car0","-E12","-E12_0","174.49","2.89"
"12.00","car7","-E6","-E6_0","16.10","4.20"
"12.00","car1","-E6","-E6_0","48.86","7.21"
"12.00","car9","-E7","-E7_0","15.10","3.74"
"12.00","car3","-E7","-E7_0","44.49","6.95"
"12.00","car5","E0","E0_0","1.96","1.24"
"12.00","car4","E0","E0_0","17.39","4.20"
"12.00","car2","E0","E0_0","47.47","7.28"
"13.00","car0","-E12","-E12_0","177.30","2.81"
"13.00","car7","-E6","-E6_0","20.71","4.61"
"13.00","car1","-E6","-E6_0","56.67","7.81"
"13.00","car9","-E7","-E7_0","19.32","4.22"
"13.00","car3","-E7","-E7_0","52.07","7.59"
"13.00","car5","E0","E0_0","3.73","1.77"
"13.00","car4","E0","E0_0","22.32","4.93"
"13.00","car2","E0","E0_0","55.20","7.73"
"14.00","car0","-E12","-E12_0","180.07","2.77"
"14.00","car7","-E6","-E6_0","25.87","5.16"
"14.00","car1","-E6","-E6_0","65.28","8.61"
"14.00","car9","-E7","-E7_0","24.08","4.76"
"14.00","car3","-E7","-E7_0","60.40","8.33"
"14.00","car5","E0","E0_0","6.16","2.43"
"14.00","car4","E0","E0_0","27.93","5.60"
"14.00","car2","E0","E0_0","63.57","8.37"
"15.00","car0","-E12","-E12_0","182.76","2.69"
"15.00","car7","-E6","-E6_0","31.56","5.69"
"15.00","car1","-E6","-E6_0","74.55","9.27"
"15.00","car9","-E7","-E7_0","29.56","5.48"
