"time","carID","edgeID","laneID","pos","speed"
"0.00","car0","-E6","-E6_0","0.00","0.00"
"0.00","car1","-E7","-E7_0","0.00","0.00"
"0.00","car7","E0","E0_0","0.00","0.00"
"0.00","car3","E12","E12_0","232.36","2.77"
"0.00","car9","E12","E12_0","267.61","11.81"
"1.00","car0","-E6","-E6_0","0.71","0.71"
"1.00","car1","-E7","-E7_0","0.77","0.77"
"1.00","car7","E0","E0_0","0.78","0.78"
"1.00","car3","E12","E12_0","234.98","2.62"
"1.00","car9","E12","E12_0","279.36","11.75"
"2.00","car0","-E6","-E6_0","2.19","1.47"
"2.00","car1","-E7","-E7_0","2.19","1.42"
"2.00","car7","E0","E0_0","2.05","1.28"
"2.00","car3","E12","E12_0","237.84","2.85"
"2.00","car9","E12","E12_0","290.45","11.10"
"3.00","car0","-E6","-E6_0","4.19","2.00"
"3.00","car1","-E7","-E7_0","4.03","1.83"
"3.00","car7","E0","E0_0","3.81","1.75"
"3.00","car3","E12","E12_0","240.83","3.00"
"3.00","car9","E12","E12_0","297.09","6.64"
"4.00","car0","-E6","-E6_0","6.74","2.55"
"4.00","car1","-E7","-E7_0","6.36","2.34"
"4.00","car7","E0","E0_0","6.34","2.53"
"4.00","car3","E12","E12_0","243.80","2.97"
"4.00","car9","E4","E4_0","4.13","7.04"
"5.00","car4","-E6","-E6_0","0.00","0.00"
"5.00","car0","-E6","-E6_0","9.82","3.07"
"5.00","car2","-E7","-E7_0","0.00","0.00"
"5.00","car1","-E7","-E7_0","9.12","2.76"
"5.00","car8","E0","E0_0","0.00","0.00"
"5.00","car7","E0","E0_0","9.37","3.03"
"5.00","car3","E12","E12_0","246.59","2.79"
"5.00","car9","E4","E4_0","11.87","7.73"
"6.00","car4","-E6","-E6_0","0.46","0.46"
"6.00","car0","-E6","-E6_0","13.59","3.77"
"6.00","car2","-E7","-E7_0","0.66","0.66"
"6.00","car1","-E7","-E7_0","12.52","3.40"
"6.00","car8","E0","E0_0","0.57","0.57"
"6.00","car7","E0","E0_0","12.97","3.61"
"6.00","car3","E12","E12_0","249.33","2.74"
"6.00","car9","E4","E4_0","20.17","8.31"
"7.00","car4","-E6","-E6_0","1.37","0.91"
"7.00","car0","-E6","-E6_0","18.04","4.45"
"7.00","car2","-E7","-E7_0","1.85","1.20"
"7.00","car1","-E7","-E7_0","16.34","3.82"
"7.00","car8","E0","E0_0","1.88","1.30"
"7.00","car7","E0","E0_0","17.36","4.39"
"7.00","car3","E12","E12_0","252.21","2.88"
"7.00","car9","E4","E4_0","29.08","8.91"
"8.00","car4","-E6","-E6_0","3.06","1.69"
"8.00","car0","-E6","-E6_0","23.17","5.13"
"8.00","car2","-E7","-E7_0","3.45","1.60"
"8.00","car1","-E7","-E7_0","20.81","4.47"
"8.00","car8","E0","E0_0","3.85","1.97"
"8.00","car7","E0","E0_0","22.29","4.93"
"8.00","car3","E12","E12_0","255.04","2.83"
"8.00","car9","E4","E4_0","38.78","9.70"
"9.00","car4","-E6","-E6_0","5.22","2.17"
"9.00","car0","-E6","-E6_0","28.85","5.68"
"9.00","car2","-E7","-E7_0","5.50","2.05"
"9.00","car1","-E7","-E7_0","25.76","4.95"
"9.00","car8","E0","E0_0","6.39","2.54"
"9.00","car7","E0","E0_0","27.75","5.46"
"9.00","car3","E12","E12_0","257.69","2.65"
"9.00","car9","E4","E4_0","48.96","10.18"
"10.00","car4","-E6","-E6_0","8.17","2.94"
"10.00","car0","-E6","-E6_0","34.98","6.13"
"10.00","car5","-E7","-E7_0","0.00","0.00"
"10.00","car2","-E7","-E7_0","8.16","2.66"
"10.00","car1","-E7","-E7_0","31.25","5.49"
"10.00","car8","E0","E0_0","9.56","3.17"
"10.00","car7","E0","E0_0","33.70","5.95"
"10.00","car3","E12","E12_0","260.69","3.00"
"10.00","car9","E4","E4_0","59.57","10.61"
"11.00","car4","-E6","-E6_0","11.90","3.73"
"11.00","car0","-E6","-E6_0","41.65","6.67"
"11.00","car5","-E7","-E7_0","0.55","0.55"
"11.00","car2","-E7","-E7_0","11.36","3.20"
"11.00","car1","-E7","-E7_0","37.53","6.28"
"11.00","car8","E0","E0_0","13.19","3.63"
"11.00","car7","E0","E0_0","40.19","6.49"
"11.00","car3","E12","E12_0","263.51","2.82"
"11.00","car9","E4","E4_0","70.61","11.04"
"12.00","car4","-E6","-E6_0","16.10","4.20"
"12.00","car0","-E6","-E6_0","48.86","7.21"
"12.00","car5","-E7","-E7_0","1.58","1.03"
"12.00","car2","-E7","-E7_0","15.19","3.83"
"12.00","car1","-E7","-E7_0","44.36","6.83"
"12.00","car8","E0","E0_0","17.62","4.43"
"12.00","car7","E0","E0_0","47.39","7.20"
"12.00","car3","E12","E12_0","266.32","2.81"
"12.00","car9","E4","E4_0","82.31","11.70"
"13.00","car4","-E6","-E6_0","20.71","4.61"
"13.00","car0","-E6","-E6_0","56.67","7.81"
"13.00","car5","-E7","-E7_0","3.20","1.62"
"13.00","car2","-E7","-E7_0","19.55","4.37"
"13.00","car1","-E7","-E7_0","51.92","7.56"
"13.00","car8","E0","E0_0","22.58","4.95"
"13.00","car7","E0","E0_0","55.16","7.77"
"13.00","car3","E12","E12_0","269.32","3.00"
"13.00","car9","E4","E4_0","94.67","12.36"
"14.00","car4","-E6","-E6_0","25.87","5.16"
"14.00","car0","-E6","-E6_0","65.28","8.61"
"14.00","car5","-E7","-E7_0","5.26","2.05"
