"carID","depart","departLane","departPos","departSpeed","departDelay","arrival","arrivalLane","arrivalPos","arrivalSpeed","duration","routeLength","waitingTime","rerouteNo","speedFactor","vaporized"
"car2","0.00","E7_1","161.16","2.72","0.00","17.00","E7_1","300.00","13.43","17.00","138.84","0.00","0","1.01",""
"car1","0.00","E7_0","160.46","2.60","0.00","18.00","E7_0","300.00","12.97","18.00","139.54","0.00","0","0.94",""
"car7","0.00","E7_1","130.24","2.15","0.00","21.00","E7_1","300.00","12.27","21.00","169.76","0.00","0","0.89",""
"car8","1.00","E7_0","128.08","2.52","1.00","22.00","E7_0","300.00","12.94","21.00","171.92","0.00","0","0.94",""
"car9","1.00","E7_0","100.70","2.17","1.00","24.00","E7_0","300.00","11.56","23.00","199.30","0.00","0","0.86",""
"car0","0.00","-E6_0","0.00","0.00","0.00","51.00","E2_0","100.00","14.61","51.00","500.00","0.00","0","1.06",""
"car5","5.00","-E6_0","0.00","0.00","5.00","60.00","E2_0","100.00","11.44","55.00","500.00","0.00","0","0.83",""
"car6","0.00","-E7_0","0.00","0.00","0.00","109.00","-E0_0","500.00","14.14","109.00","1300.00","0.00","0","1.05",""
"car3","0.00","E0_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","120.00","685.78","3.00","0","1.08","end"
"car4","5.00","E0_0","0.00","0.00","5.00","-1.00","","-1.00","-1.00","115.00","667.12","0.00","0","1.03","end"
